"","ID","X","Y","reg.vis"
"107","SEAK_1",-139.341056,59.717417,"Southeast AK"
"108","SEAK_1",-139.350972,59.730778,"Southeast AK"
"109","SEAK_1",-139.351,59.741611,"Southeast AK"
"110","SEAK_1",-139.357639,59.74661,"Southeast AK"
"111","SEAK_1",-139.35775,59.752416,"Southeast AK"
"112","SEAK_1",-139.362694,59.757444,"Southeast AK"
"113","SEAK_1",-139.362583,59.765778,"Southeast AK"
"114","SEAK_1",-139.357639,59.769917,"Southeast AK"
"115","SEAK_1",-139.357611,59.79575,"Southeast AK"
"116","SEAK_1",-139.352667,59.804083,"Southeast AK"
"117","SEAK_1",-139.346,59.809138,"Southeast AK"
"118","SEAK_1",-139.347694,59.823249,"Southeast AK"
"119","SEAK_1",-139.337722,59.834056,"Southeast AK"
"120","SEAK_1",-139.332694,59.834917,"Southeast AK"
"121","SEAK_1",-139.332694,59.837416,"Southeast AK"
"122","SEAK_1",-139.324361,59.844972,"Southeast AK"
"123","SEAK_1",-139.312722,59.851583,"Southeast AK"
"124","SEAK_1",-139.312722,59.85411,"Southeast AK"
"125","SEAK_1",-139.321056,59.857417,"Southeast AK"
"126","SEAK_1",-139.325944,59.867444,"Southeast AK"
"127","SEAK_1",-139.335972,59.875721,"Southeast AK"
"128","SEAK_1",-139.354333,59.885777,"Southeast AK"
"129","SEAK_1",-139.361,59.89075,"Southeast AK"
"130","SEAK_1",-139.361,59.893277,"Southeast AK"
"131","SEAK_1",-139.371028,59.897444,"Southeast AK"
"132","SEAK_1",-139.376,59.902417,"Southeast AK"
"133","SEAK_1",-139.381083,59.909943,"Southeast AK"
"134","SEAK_1",-139.379306,59.917443,"Southeast AK"
"135","SEAK_1",-139.382667,59.921583,"Southeast AK"
"136","SEAK_1",-139.388556,59.922,"Southeast AK"
"137","SEAK_1",-139.394333,59.926583,"Southeast AK"
"138","SEAK_1",-139.392694,59.930721,"Southeast AK"
"139","SEAK_1",-139.395972,59.933277,"Southeast AK"
"140","SEAK_1",-139.397667,59.939916,"Southeast AK"
"141","SEAK_1",-139.401861,59.94036,"Southeast AK"
"142","SEAK_1",-139.404333,59.936639,"Southeast AK"
"143","SEAK_1",-139.408528,59.936167,"Southeast AK"
"144","SEAK_1",-139.421028,59.94161,"Southeast AK"
"145","SEAK_1",-139.426056,59.949943,"Southeast AK"
