reg,long,lat
BS,-165.9294362,65.00384802
BS,-165.9426689,65.11770306
BS,-165.9186137,65.2995095
BS,-166.3628449,65.46286966
BS,-166.8641394,65.59311502
BS,-167.2617548,65.6295825
BS,-167.9427235,65.65110972
BS,-168.3307929,65.64084933
BS,-168.2487439,65.57883488
BS,-168.3881815,65.51226626
BS,-168.2822321,65.42704662
BS,-167.8841065,65.19857286
BS,-167.5350383,64.84371077
BS,-167.2073186,64.57612464
BS,-166.6039822,64.35085733
BS,-165.9651415,64.26104335
BS,-165.3577212,64.13115816
BS,-164.5614553,64.12408308
BS,-163.8794352,64.18745196
BS,-163.3678881,64.13672371
BS,-162.9769811,63.93610208
BS,-162.9830346,63.76241611
BS,-163.7127796,63.67848599
BS,-164.5755811,63.51607933
BS,-165.1272476,63.41343781
BS,-165.5487105,63.024998
BS,-165.9154692,62.78471881
BS,-166.1977856,62.56951005
BS,-166.6570113,62.27557671
BS,-166.7897042,61.97452295
BS,-166.8077336,61.58832198
BS,-166.5975131,61.25630758
BS,-166.90711,60.94961017
BS,-167.325597,60.76359436
BS,-167.7107509,60.53901665
BS,-167.8646616,60.32033244
BS,-167.8031019,59.98197677
BS,-167.349458,59.6801957
BS,-166.5451787,59.52418613
BS,-165.6857478,59.59131612
BS,-164.8750544,59.70194443
BS,-164.2471929,59.39193077
BS,-163.7509053,59.38643069
BS,-163.3624312,59.31022423
BS,-163.0307523,59.16848767
BS,-162.8940356,59.00888118
BS,-162.7939061,58.79200012
BS,-162.7438275,58.52804521
BS,-162.3477451,58.31878811
BS,-161.5812467,58.20137778
BS,-160.9046144,58.16658407
BS,-160.4063788,58.18248254
BS,-159.8475531,58.22444744
BS,-159.4184612,58.22728506
BS,-159.1082458,58.18207265
BS,-158.7925634,58.07694833
BS,-158.4459958,57.99833925
BS,-158.4159236,57.70742966
BS,-158.8320579,57.41174781
BS,-159.4331529,57.0497228
BS,-159.7161229,56.85827813
BS,-160.0930894,56.66004338
BS,-160.4355544,56.5434793
BS,-160.866342,56.39255853
BS,-161.2856329,56.26490637
BS,-161.7356338,56.13031968
BS,-162.1793718,55.95882599
BS,-162.4250898,55.81852037
BS,-162.8649422,55.59182188
BS,-163.398297,55.39719117
BS,-163.7164311,55.3551242
BS,-164.1386536,55.26837363
BS,-164.4853799,55.16569314
BS,-165.1449248,55.18550639
BS,-165.5630198,55.19228929
BS,-166.5400313,55.33870107
BS,-167.1930953,55.49951791
BS,-167.7170606,55.64811934
BS,-168.0315647,55.91804382
BS,-168.1116486,56.05555713
BS,-168.2925713,56.29067281
BS,-168.7920053,56.48534612
BS,-169.2015776,56.57370247
BS,-169.1765616,56.66564572
BS,-169.4050974,56.72574882
BS,-169.7143603,56.78164637
BS,-169.9518668,56.90588815
BS,-169.9389871,57.0274833
BS,-169.8558701,57.18238074
BS,-169.9727614,57.34549442
BS,-170.1829663,57.39694368
BS,-170.4691156,57.36429501
BS,-170.6401525,57.25496575
BS,-170.7597379,57.10775584
BS,-170.6058391,56.87239865
